overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"03 7, 2014",A2YOVEQGYBJBV8,B003WY86L6,...B,Terrible controller. Fake. Sony shell with artificial guts. Definitely a counterfeit controller. Ended up getting a real one at fry 's electronics.,counterfeit,1394150400,,,
1.0,False,"06 4, 2014",A3OBUM35IJCHF3,B00IIHU44E,M. Hart,"Having purchased 99% of all gaming consoles dating back to the original Nintendo, I was excited for the new Xbox One. Upon opening and setting up the new console, I was excited to get the initial set up complete and throw in Titanfall and start playing. My excitement quickly faded when the initial set-up/download took over an hour and a half. After the download for the set-up was finished, I decided to check my internet connection and it was working at a fast speed with no foreseeable problems which drew more questions. I then went to type in the code to download the Titanfall game that was included in my bundle. After close to 3 hours, the download was only at 7% and I became worried. Still not wanting to give up on the Xbox one before I had even played it yet, I decided to throw in a game my wife had gotten and the console made me do an immediate update for her game which only took half an hour. Once the update was completed, it made me download the game to the hard drive which took an hour and a half. After her game finally finished downloading, she played it for about 20 minutes before we headed to bed for the night. Thinking that leaving the console for the next few hours to let Titanfall download seemed like a good idea. When I woke up in the morning and not only had the game not downloaded but the Xbox had turned off right after I went to sleep. When I turned the console on in the morning, the download had stopped and had gone back down to 1%. Just to be clear, I don't have a slow internet connection and the downloads were still taking forever to get anywhere at all. I've always been a fan of Microsoft, but it seems like they're going away from wanting to have user friendly systems and wanting to make a non-user friendly system that's as high tech as they can get it with taking away from user control. This is the worst system I've ever purchased and I will have a full refund by the end of the week. Despite the positive reviews on this page, please read user reviews online and you'll see the massive amount of complaints dealing with incredibly slow download times. A few things to keep in mind before purchasing this console..... the graphics are the exact same as the 360. Also, when a new system comes out for purchase there are several things you expect. You should expect it to be more streamlined and smaller with the new technology that's out there. With the xbox one, you get none of these things. The console itself is big and bulky and the new Kinect is twice as big as the 360 version. If you're seriously considering purchasing the Xbox One and are a fan of Microsoft gaming consoles, please just stick with the Xbox 360 and like I stated before, if you don't believe my review, look on all the Xbox One blogs online and you'll see how much it really is sinking in popularity. Thanks

6 June 2014**** Update. Talked to Microsoft about snail speed download times and I was told that's been happening a lot and they are working on it. Game finally finished downloading after 3 days off and on. Game itself was great with the one exception that it's only for online play. So as it doesn't have an offline campaign mode, when new games come out for the Xbox one and people move on to other games, you'll no longer be able to play this game.

10 June 2014**** Update Three: The Kinect is terrible as well. In addition to the Kinect being terrible, after trying to re-setup the voice recognition to turn the console on, it continues to fail. I also can't turn on the Xbox One via controller or Kinect and the only way I can turn it on is actually walking up to the console and hitting the xbox button on the system itself. Regardless of when the system came out to the public, these issues should have been resolved by now.",Worst Console Ever!,1401840000,2,,
1.0,False,"06 22, 2010",AIRLIFP1RSPOZ,B0013HE5UU,Reviewer,"This was an impulse buy during one of those buy two get one preowned sales at gamestop.  Trying to find that third game to get for ""free"".  REGRET IT.  Boring.  Not a lot of games.  Hate it so much we haven't unlocked anything to see what its like.  Graphics are terrible with a capital T.  My husband begged us to turn it off.  Thought my two girls would love it, but not so much.  I do like having a variety of games, but this one is never chosen.  Save your money to buy the good stuff (Wii Sports...which everyone has...Wii Fit Plus, Wii Sports Resort, Just Dance, Guiness).","I, too, regret the purchase",1277164800,,,
1.0,True,"01 25, 2017",A691XU34BVWME,B00DDXILBQ,JM,"Part of the game title should read ""MUST BUY XBOX LIVE GOLD TO USE"" - because you do.  I was looking for a solo playing game, this is not it unless you fork out the money to buy a membership - it will look for that membership after installing and if you don't have it, it won't even start up the game !",Must have XBOX Live Gold Membership - nuff said.,1485302400,4,{'Format:': ' Video Game'},
1.0,False,"07 28, 2007",A1EHTVRZCXC8EX,B000NJFMOM,G. Pallens,"I wanted Transformers the video game to be as good as the movie but I was wrong. There is nothing good about Transformers the video game. The graphics would be considered good if they were on the PS1 and there's not a lot to do with your Transformer. All you do is punch and shoot. Your not allowed to shoot people only buildings and vehicles. Hardly any people talk through the game. The cutscenes are short and boring so you won't miss anything if you skip the scenes. I think it's true what they say. Most video games based on movies are TRASH! The only good games based on movies are Spider-man 1,2,and 3.  Don't buy this game. Don't even rent it just get Spider-man 3.",DON'T  WASTE  YOUR  TIME  PLAYING  THIS  JUNK!!!  The movie was great but this game is TRASH!,1185580800,3,{'Platform:': ' Xbox 360'},
1.0,False,"08 20, 2015",A5NIUYBHVPGK,B00D3RBYM0,john robert orrson,Beat the game it. It will crash out of no where. Reset your xbox and all game data will be lost. Google need for speed loss of game data it happens to alot of people and even play station. The game is now worthless to me I'm not going to beat the whole game over to get to where I was. I read on forms it happening to multiple people multiple times. This is a huge error and I feel as a refund is the only explanation for a game that does not fuction. It's broken and there is nothing you can do about it. This game is so old now it doesn't even matter,all data lost in cloud,1440028800,,{'Format:': ' Video Game'},
1.0,True,"02 7, 2014",AWHDMWELQSN8W,B000XGJH1O,LONG H TRAN,"defective machine, no video, returned.  rattling inside when i unpack, end up spending $40+ of my own money for return postage.","defective,",1391731200,2,"{'Size:': ' 17.5 x 14 x 7 inches', 'Color:': ' black'}",
1.0,False,"09 6, 2012",A5VB0JWUF97HI,B00178630A,Beechnut,"I have played many games, I have played WoW for 7 years, swtor, Lotro, rift, gw2, etc.  I just did not enjoy diablo 3.  It was clunky, constantly having server issues, and the click to move games are not intuitive.",not good,1346889600,15,{'Format:': ' Computer Game'},
1.0,False,"11 28, 2010",A29KXDXYC9JEX2,B000ZKA0J6,Josh D. Gregorio,StarCraft II is a disappointment. The game is short and really easy. A lot of the missions are just retreads from the original StarCraft. It might be worth picking it up if you like multiplayer and want to game against your friends. Don't get it for the single player.,Not very good.,1290902400,10,{'Format:': ' Video Game'},
1.0,False,"05 13, 2008",A1LWYVLGA3N2R4,B0010EK3SE,alaska,"Assassin's Creed for the PC was released with DirectX 10.1 optimizations which enabled better performance for 10.1-compliant video cards, which are currently only made by AMD/ATI.  Ubisoft has now patched the game to disable DX10.1 support, and has no announced plans to reinstate it.  Several websites have connected this action with the co-marketing agreement between Ubisoft and Nvidia, suggesting that this is a deliberate and corrupt move to cover up Nvidia's weaker performance on 10.1 games.  The net result is that consumers are getting ripped off -- not just ATI card owners, but Nvidia buyers as well, because actions like Ubisoft's encourage Nvidia to cheat rather than improve its products.","DirectX 10.1 support, or lack thereof",1210636800,16,{'Format:': ' Video Game'},
1.0,False,"08 29, 2015",A1ELOBOYQD6UMQ,B000FW87AI,Cagneyfan67,"WWE Smackdown vs Raw 2007 is Terrible. They changed the controls and its harder and confusing. I found this ruining the game for me. I recommend you get PS 2 Smackdown vs Raw Original, Here Comes The Pain and Shut Your Mouth. I found those games to be easier and more enjoyable to play.",PS 2 Game Review: Confusing Hard Controls Ruin Game,1440806400,,{'Platform:': ' PlayStation2'},
1.0,False,"05 10, 2009",A28LCUL3KAWNH2,B001ASJISG,Poshu Oshu,"the prince of persia game series has been one of my favorite series for the shear fun factor. take away a breathtaking story, engaging characters, amazing fight mechanics and the wall running trap dodging puzzles are plenty fun all on their own. well in this one they DID take away all the things that made POP fun, and then they simplified the wall running and made it not fun anymore.

the combat is simplistic and it holds your hand the whole way, in case you've never played a video game before in your life the game pauses itself and indicated when to block, ALWAYS, at first i thought it was tutorial, but no, right up until i stopped playing the game would give me a nice litle indicator screen to block with, if you fail the block however you just get knocked down... thats all... i can't imagine who thought it was a good idea to have the combat on the level of playing with duplo blocks.

the animation i can udnerstand, and it works well for the game, the overall feal of the game is suposed to be magical so the fudging and cel shaded style of it all comes off rather nicley except elika being damn barefoot all the time did piss me off though i'm not sure why.

the free running is all on the same button as jump this time around and being used to the tight easy to learn/hard to master controlls of POP2 and 3 i felt like a guy who learned how to ride a dirtbike only to be stuck on a tricycle for 3 hours.

no, i can't recomend this game to any one other than toddlers, or people looking to get into video games but have poor hand/eye coordination.",what happened?,1241913600,,{'Platform:': ' Xbox 360'},
1.0,False,"03 17, 2007",A2OHZE6G60JZFM,B000FRS9II,Jonathan Providence,"THIS IS POSSILBY THE MOST BORING GAME IVE PLAYED IN A WHILE. It sucks people, all you do basically is run and hide for cover while you use all of your ammo to kill one enemy (the locust horde) you shoot these things at least 50 times before they actually die. The night I bought this I played for and hour trying to get into it, but it was just boring, i was so excited to play it because everyone had been pumping it up and giving it great reviews, but to my dissapointment, it was really bad. What is wrong with these games now a days? They're all the same, nothing is stand out or extremely original. GRAW exceeds way above this game and Gear of War won game of the year? I have no idea how, the graphics are nice but overall the gameplay is dull and its just a boring game, after one night, i took it to the neighborhood eb games and traded it for store credit, that was the fastest ive ever gotten rid of a game, if your gonna buy it, wait until its 20 dollars then it might be worth it.",OK WHAT IS WRONG WITH THE PEOPLE WHO GAVE THIS 5 STARS?,1174089600,17,{'Format:': ' Video Game'},
1.0,False,"04 25, 2015",A1QR1H16NI8C1Q,B00RYW3FF4,Dom,"I loved the layout of the controller, but the buttons don't work properly. While typing my information in to login to my WBplay account single button presses were causing letters to pop up multiple times. Imagine how this would affect you trying to pull off a combo or special move in the game. There is also no ports to plug in a headset which means no game chat. Guess what? I bought this game to play with my friends. That's a deal breaker for me. I took it back to gamestop and when I explained the button press problem they let me return it as ""defective"" and gave me a refund. I don't suggest this to anyone...","Good button layout, but serious flaws...",1429920000,4,,
1.0,False,"09 22, 2010",A1I8YIJPHIKVSI,B004774IPU,Chris from the Midwest,I installed the game...played it 3 times and have never touched it again.  For a franchise I was so addicted to I am sorely disappointed.,A complete redesign of a great franchise...and a failure,1285113600,20,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,False,"01 9, 2005",AEGEJPD0IB6Y1,B00009ZVI2,G. Holley,"This is horrible. Horrible, horrible, horrible. The controls are tedious. The camera could not be worse. The game is touchy. I could not say ""STAY AWAY"" enough. I know many found this game fun, but I have been video gaming for over 25 years now and I say this is one of the worst!!!!!",Don't get sucked in,1105228800,2,,
1.0,False,"09 8, 2008",A250AXLRBVYKB4,B001AYEGXM,ConsumerAdvocate (dakotad555) at (gmail) dot (com),"I will never buy a game with invasive, crippling DRM ever again.&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Mass-Effect/dp/B00140P9BA/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Mass Effect</a>&nbsp;had so many problems that I've sworn off giving my money to companies that treat the consumer as 'guilty until proven innocent.' I will also never lease another game, which is effectively what EA is forcing users to do with their limited installs plan.

I should mention that I don't own this game, I played it at a friends house. I will not buy a copy because: 1. The game play is pretty boring, 2. the concept has been dumbed-down to the level where this is a game for 12 year olds, and 3. the draconian DRM.

Now, on to the review. I'm always loved Maxis games, and own all of the sim city games, going back to the original for Nintendo. I also own the Sims, the Sims II, and enjoyed them quite a bit. So I was really looking forward to this game, and have tracked its progress for nearly two years.
I was excited about the concept, and watching as my genetic children grew to take over the universe...

Sadly, most of what was most exciting about that original concept has been stripped from the game. Now, as other have mentioned, adding more legs doesn't increase speed more than a better +5 foot. Many of the genetic options are self-excluding, because why would you pick an inferior body part even if it looked cool, knowing it would make your creatures ultimately inferior?

The game play is tiresome and monotonous. I got bored at the begining, and then the space stage is nearly unplayable. It is so boring, I find myself wishing it were more like Stelcon3D, a game that is almost 20 years old! Seriously, if they wanted to add RTS elements to the game, they should have made it more challenging and less user intensive to manage every little thing...

I honestly hope that EA reads all the backlash here as well as other places and adjusts their draconian, anti-consumer behavior. If not, I hope that enough people REFUSE TO BUY THIS GAME and others with game breaking DRM that companies are forced to respond by changing their policies.",Not very fun + SecuROM 7x = FAIL,1220832000,17,"{'Edition:': ' Galactic', 'Platform:': ' PC/Mac'}",
1.0,True,"02 15, 2014",AFHOCNMBD2S73,B008SBZD9G,Kevin,"This was my first Final Fantasy game ever.  I have played a lot of MMO's I have played Warhammer Online Star War Old Republic MMO Few other NOT WOW though.  Where to start.

First The opening Sequence is utter Trash Cant skip it cant do anything have to watch like 5-10 min open Sequence of the game.  That's all fine and dandy but Atleast let someone skip the intro Movie.  Gold or What ever currency there is in the game getting Private Convoed a lot for wanting to sell Cold.  I am used to that but not as much as there was in this game first 3 hours playing the game I got atleast 300 if not more for them selling currency.  Customer Service you might aswell forget about it I put in a ticket about a week ago and still no response I cant get past my story line atm due to a bug.  I have few friends that have this game and they made sure I Didn't mess something up I didn't.  But like I said this is my first Final Fantasy Game so take it with a grain of salt.

The Graphics on this game is cartoonish.  The people you get quests from there is no Voice over what so ever. All in all I would give the game a 0 But Amazon won't let me.  If you like reading this game is for you.",I just Couldnt get into it.,1392422400,,{'Format:': ' Video Game'},
1.0,False,"09 17, 2009",A3S9DOTT4Z8JF9,B001BR95PW,Amozarte,"I acquired this headset when&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/SOCOM-Confrontation/dp/B000ZKA0KA/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">SOCOM: Confrontation</a>&nbsp;was first released and thought I was getting a deal by getting the game AND the headset for about $60.  I couldn't have been more wrong.

As headsets go, I have worn a LOT of them.  I've owned old-fashioned wired headsets, pre-bluetooth wireless that communicated with a little receiver you clipped to your belt and plugged into your phone, and of course... plenty of bluetooth sets.

Let me start by saying that you do NOT need this headset for a PlayStation3.  In theory, ANY bluetooth headset will work with a PS3.  (Granted some won't because bluetooth is inherently buggy technology.)  Likewise, this headset will work with almost any bluetooth phone.  However, my personal preference is to have separate headsets because I don't like pairing and unpairing all the time.

Having said that, let's talk about this headset.  It is about as basic as basic gets.  If all you need is basic, more power to you, but you'll find similar quality for less money with other sets. Try the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Jabra-BT4010/dp/B001F8FH8Q/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Jabra BT4010</a>, which as of this writing sells for half the price of the Sony.  Heck, you can even find $10 bluetooth headsets if you really want to go cheap!

Apart from poor value, the Sony set is an awkward fit.  It has only a thin rubber ring around a little plastic ""barrel"" that is supposed to stay fastened in your ear.  Most other sets either have a ""form-fitted"" rubber piece or simply stay out of your ear altogether.  This design gets uncomfortable quickly because A) the part that goes in your ear may not be the right size for your ear and B) the over-the-ear loop is made of cheap plastic as opposed to being rubber or having a rubber coating like many other sets.

The battery life is decent, but nothing to write home about.  And the charging stand? It's cheap, very lightweight plastic that falls over very easily.  If the USB cable is a little bit stiff, the natural tendency for it to curl may very well topple the stand.

As for sound quality... yeah, basic again.  Sure, it works, but once again it is very basic.  I felt like it didn't have a very good range of volume.  Many times I had it cranked to the max and still could barely hear.

Since games are usually $60 and this headset came bundled inside a $60 game, I tried hard to find a reason to keep it, after all wasn't it ""free""?  In the end, I could find no redeeming qualities and returned it rather than allowing it to take up space in a drawer somewhere.

If you'd like some good places to start your search for another headset, here are a few:

Personally, I just can't get over the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Jabra-FreeSpeak-BT250V/dp/B00080UHA0/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Jabra FreeSpeak BT250V</a>.  It's so comfortable I don't even notice it's there and it also has a vibrating/call notification feature, which is absolutely great for leaving your phone on the charger and keeping the headset with you at home or office.  As of this writing, the Sony is ~$45 and the Jabra is ~$60.  You may find the Jabra cheaper but even at $60 it's DEFINITELY a better value than the Sony!

If you're looking for a really great sounding bluetooth set (i.e. for listening to music), I've been really happy with the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Motorola-HT820/dp/B000E6MJW2/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Motorola HT820</a>.  It has two speakers and wraps around the back of your head/neck.  Fair warning, though- the Motorola sounds awesome but the speakers are huge and wearing this set makes you look like a total dork.

There are hundreds, maybe even thousands of bluetooth headsets out there so no matter which one you finally choose, please just don't make it this Sony piece of junk.  Your dollars will go farther on something with the same quality/lower price, or same price/higher quality.",You can find better,1253145600,13,,
1.0,False,"01 23, 2015",A1KCE359S7RRAY,B00CJXYTGM,Andres E. Pacheco,"I am SO HAPPY I rented this this crap! I would have been seriously tick off buying this garbage. First it's a rip off of Resident Evil 4, Silent Hill, and The Last of Us. Second this cop must be the most out off shape person on the force! And what's the deal with using brains to upgrade your weapons? As for atmosphere, it's the same as Alien Isolation. BOOOORRRRIIINNNGGGG!!!!!! I hope the Bethesda thinks twice before releasing crap like this again. One more thing, camera controls, pretty bad, they should have called the people from Resident Evil and asked them for help.",Worst game of the year!,1421971200,,{'Format:': ' Video Game'},
1.0,True,"08 26, 2015",AKLLE6W7SKTKX,B00NAW5I8Y,torry,never worked,One Star,1440547200,,,
1.0,False,"08 14, 2005",A1W44FTQGV754F,B00008KTSW,Brian S.,"I was not pleased with this game. Although I am a major fan of the both the original and remade Battlestar Galactica this game was very difficult to control and track the cylons right from mission 1.  Unless you are already an ace at working the controllers and have every button's location memorized like your hand, you'll spend most of your time trying to even find a cylon (even though they are all over you and the Galactica).  Part two of mission 1 is almost impossible to beat and you have to start the game over from the very start every time.  Stick with just the TV shows.",Very Difficult To Control,1123977600,2,{'Platform:': ' PlayStation2'},
1.0,True,"12 30, 2015",AASU3KMYV0JP7,B00PIZMB6S,K. Riley,"Stopped working about 20 minutes in, signal just completely cut out, no button response.  Tested it twice to verify.",Junk,1451433600,2,,
1.0,False,"01 15, 2014",A20DZX38KRBIT8,B00DC7G0GG,Deimos,"The game is well done graphically, the visuals are wonderful, the new 3d style is well done again graphically and the fun factor is decent.  Compared to the awesome control of Mario U im still trying to get used to the controls in a 3d style as for me Mario will always be a 2d game regardless of how good the graphics are. In this game and Mario U they are stunning but this game is hard to navigate as it's damn near impossible to determine where you going to land....again I love the smooth controls and camera angles of Mario U.  The multiplayer is kind of fun, my wife and I tried to enjoy it but it gets frustrating quickly for the control/camera limitations I mentioned above.  Once again going through the levels together is tough and if you get a little ahead of the other player(s) it kills you all or bubbles everyone which is very annoying.  The next thing is the cat suit power up, its way to overused like in every level, where are the racoon suits?  If you die 5 times in a level you get the while tanookie suit rendering you invincible save from pit falls which this whole game is.....  Overall Mario U is all you need for a great new Mario game this one is a real dud, it tries to pride itself on nestalgia but fails and the levels range from easy as hell to damn near impossible again due to the 3d mess of the controls and camera angles.  Not worth 60+ dollars by any stretch.",Bad camera angles lead to bad controls and becomes boring quickly.,1389744000,9,{'Format:': ' Video Game'},
